Source: 4.0800, 1.4000, Error: 2.2361, Degree: 0
Source: 4.0000, 1.3200, Error: 2.2361, Degree: 0
Source: 3.8400, 1.2400, Error: 2.2361, Degree: 0
Source: 3.7600, 1.1600, Error: 2.2361, Degree: 0
Source: 3.6000, 1.1600, Error: 2.2361, Degree: 0
Source: 3.5200, 1.1600, Error: 2.2361, Degree: 0
Source: 3.5200, 1.1200, Error: 2.2361, Degree: 0
Source: 3.3600, 1.1200, Error: 2.2361, Degree: 0
Source: 3.3600, 1.0400, Error: 2.2361, Degree: 0
Source: 3.2800, 0.9600, Error: 2.2361, Degree: 0
Source: 3.1200, 0.9600, Error: 2.2361, Degree: 0
Source: 2.9600, 0.8800, Error: 2.2361, Degree: 0
Source: 2.9600, 0.8400, Error: 2.2361, Degree: 0
Source: 2.8800, 0.7600, Error: 2.2361, Degree: 0
Source: 2.7200, 0.6800, Error: 2.2361, Degree: 0
Source: 2.5600, 0.6800, Error: 2.2361, Degree: 0
Source: 2.4800, 0.6000, Error: 2.2361, Degree: 0
Source: 2.4000, 0.5200, Error: 2.2361, Degree: 0
Source: 2.2400, 0.4400, Error: 2.2361, Degree: 0
Source: 2.0800, 0.4000, Error: 2.2361, Degree: 0
Source: 2.0000, 0.3200, Error: 2.2361, Degree: 0
Source: 1.8400, 0.3200, Error: 2.2361, Degree: 0
Source: 1.6800, 0.3200, Error: 2.2361, Degree: 0
Source: 1.6800, 0.2800, Error: 2.2361, Degree: 0
Source: 1.6000, 0.2800, Error: 2.2361, Degree: 0
Source: 1.4400, 0.2800, Error: 2.2361, Degree: 0
Source: 1.3600, 0.2000, Error: 2.2361, Degree: 0
Source: 1.3600, 0.1600, Error: 2.2361, Degree: 0
Source: 1.2000, 0.1200, Error: 2.2361, Degree: 0
Source: 1.0400, 0.0800, Error: 2.2361, Degree: 0
Source: 0.9600, -0.0000, Error: 2.2361, Degree: 0
Source: 0.8800, -0.0000, Error: 2.2361, Degree: 0
Source: 0.8000, -0.0800, Error: 2.2361, Degree: 0
Source: 0.6400, -0.0800, Error: 2.2361, Degree: 0
Source: 0.6400, -0.1600, Error: 2.2361, Degree: 0
Source: 0.4800, -0.2000, Error: 2.2361, Degree: 0
Source: 0.3200, -0.2800, Error: 2.2361, Degree: 0
Source: 0.1600, -0.2800, Error: 2.2361, Degree: 0
Source: -0.0000, -0.2800, Error: 2.2361, Degree: 0
Source: -0.0000, -0.3200, Error: 2.2361, Degree: 0
Source: -0.1600, -0.3200, Error: 2.2361, Degree: 0
