x: -14.7067, y: 1.8595, theta: 66.12
Source: -18.1563, -9.1182, Error: 1.5489, Degree: 0
Source: -18.2365, -9.1182, Error: 1.5518, Degree: 0
Source: -18.2365, -9.1583, Error: 1.5126, Degree: 0
Source: -18.3166, -9.1583, Error: 1.5112, Degree: 0
Source: -18.3968, -9.1984, Error: 1.5030, Degree: 0
Source: -18.3166, -9.2385, Error: 1.5426, Degree: 0
Source: -18.3968, -9.2385, Error: 1.5330, Degree: 0
Source: -18.4770, -9.2385, Error: 1.5240, Degree: 0
Source: -18.3166, -9.1984, Error: 1.5084, Degree: 0
Source: -18.4770, -9.1984, Error: 1.4981, Degree: 0
Source: -18.4770, -9.1583, Error: 1.5102, Degree: 0
Source: -18.5571, -9.1583, Error: 1.5106, Degree: 0
Source: -18.5571, -9.1984, Error: 1.4937, Degree: 0
Source: -18.6373, -9.1984, Error: 1.4900, Degree: 0
Source: -18.5571, -9.2385, Error: 1.5154, Degree: 0
Source: -18.6373, -9.2385, Error: 1.5073, Degree: 0
Source: -18.7174, -9.2385, Error: 1.4997, Degree: 0
Source: -18.7174, -9.1984, Error: 1.4867, Degree: 0
Source: -18.6373, -9.1583, Error: 1.5115, Degree: 0
Source: -18.7976, -9.1583, Error: 1.5152, Degree: 0
Source: -18.7976, -9.2385, Error: 1.4926, Degree: 0
Source: -18.7174, -9.1583, Error: 1.5131, Degree: 0
Source: -18.7976, -9.1984, Error: 1.4841, Degree: 0
Source: -18.8778, -9.1583, Error: 1.5179, Degree: 0
Source: -18.8778, -9.1984, Error: 1.4820, Degree: 0
Source: -18.9579, -9.1583, Error: 1.5212, Degree: 0
Source: -18.8778, -9.2385, Error: 1.4861, Degree: 0
Source: -18.9579, -9.1984, Error: 1.4805, Degree: 0
Source: -18.9579, -9.2385, Error: 1.4800, Degree: 0
Source: -18.8778, -9.2786, Error: 1.5255, Degree: 0
Source: -19.0381, -9.1984, Error: 1.4795, Degree: 0
Source: -19.1182, -9.1583, Error: 1.5295, Degree: 0
Source: -19.0381, -9.1583, Error: 1.5251, Degree: 0
Source: -19.1182, -9.1984, Error: 1.4792, Degree: 0
Source: -19.1182, -9.2385, Error: 1.4696, Degree: 0
Source: -19.1182, -9.2786, Error: 1.4970, Degree: 0
Source: -19.1984, -9.1984, Error: 1.4794, Degree: 0
Source: -19.0381, -9.2385, Error: 1.4746, Degree: 0
Source: -19.1984, -9.2786, Error: 1.4884, Degree: 0
Source: -19.0381, -9.2786, Error: 1.5060, Degree: 0
Source: -19.1984, -9.2385, Error: 1.4652, Degree: 0
Source: -19.2786, -9.2786, Error: 1.4804, Degree: 0
Source: -19.2786, -9.1984, Error: 1.4802, Degree: 0
Source: -19.2786, -9.2385, Error: 1.4613, Degree: 0
Source: -19.3587, -9.2786, Error: 1.4728, Degree: 0
Source: -19.3587, -9.1984, Error: 1.4815, Degree: 0
Source: -19.3587, -9.2385, Error: 1.4580, Degree: 0
Source: -19.4389, -9.1984, Error: 1.4835, Degree: 0
Source: -19.4389, -9.2786, Error: 1.4657, Degree: 0
Source: -19.4389, -9.2385, Error: 1.4552, Degree: 0
Source: -19.5190, -9.1984, Error: 1.4860, Degree: 0
Source: -19.5190, -9.2786, Error: 1.4592, Degree: 0
Source: -19.5190, -9.2385, Error: 1.4530, Degree: 0
Source: -19.5992, -9.2385, Error: 1.4514, Degree: 0
Source: -19.6794, -9.1984, Error: 1.4927, Degree: 0
Source: -19.5992, -9.1984, Error: 1.4890, Degree: 0
Source: -19.6794, -9.2385, Error: 1.4503, Degree: 0
Source: -19.6794, -9.2786, Error: 1.4476, Degree: 0
Source: -19.5992, -9.2786, Error: 1.4531, Degree: 0
Source: -19.5992, -9.3186, Error: 1.4897, Degree: 0
Source: -19.6794, -9.3186, Error: 1.4803, Degree: 0
Source: -19.7595, -9.2385, Error: 1.4498, Degree: 0
Source: -19.7595, -9.2786, Error: 1.4426, Degree: 0
Source: -19.8397, -9.2786, Error: 1.4381, Degree: 0
Source: -19.9198, -9.2385, Error: 1.4505, Degree: 0
Source: -19.7595, -9.3186, Error: 1.4713, Degree: 0
Source: -19.9198, -9.3186, Error: 1.4548, Degree: 0
Source: -19.8397, -9.2385, Error: 1.4499, Degree: 0
Source: -19.8397, -9.3186, Error: 1.4628, Degree: 0
Source: -19.9198, -9.2786, Error: 1.4342, Degree: 0
Source: -20.0000, -9.3186, Error: 1.4472, Degree: 0
Source: -20.0000, -9.2385, Error: 1.4517, Degree: 0
Source: -20.0000, -9.2786, Error: 1.4308, Degree: 0
Source: -11.8236, 8.7174, Error: 4.0011, Degree: 2
Source: -11.9038, 8.7174, Error: 4.0025, Degree: 2
Source: -11.9840, 8.6774, Error: 4.0040, Degree: 2
Source: -11.9840, 8.7174, Error: 4.0047, Degree: 2
Source: -11.9840, 8.7575, Error: 4.0055, Degree: 2
Source: -11.8236, 8.6774, Error: 4.0009, Degree: 2
Source: -11.9840, 8.7976, Error: 4.0064, Degree: 2
